"id","Geographic Area Name","TotalPop","PopUnder5","Pop5_9","Pop10_14","Pop15_19","Pop20_24","Pop25_29","Pop30_34","Pop35_39","Pop40_44","Pop45_49","Pop50_54","Pop55_59","Pop60_64","Pop65_69","Pop70_74","Pop75_79","Pop80_84","Pop85Up","Pop5_14","Pop15_17","PopUnder18","Pop18_24","Pop15_44","Pop16Up","Pop18Up","Pop21Up","Pop60Up","Pop62Up","Pop65Up","Pop75Up","Pop5Up","NonEnglishAtHome5Up","SpeakSpanish5Up","ForeignBorn5Up","Pop25Up","LessThanHighSchool25Up","HighSchoolPlus25Up","SomeCollege25Up","BachelorsUp25Up","PopWithDisability","PopMale","PopFemale","PopBlack","PopAmericanIndian","PopAsian","PopHawaiin","Pop2PlusRaces","PopWhite","PopHispanic","PopAmbulatoryDisability","PopSelfCareDisability","PopIndLivingDisability","TotalHouseholds","HousesWithFoodStamps","HousesWith60Plus","HousesWithChildren","HousesInPoverty","TotalHousePopulation","Income25kUnder","Income25k_50k","Income50k_75k","Income75k_100k","Income100kUp","TotalCivNonInstiPop","TotalCivNonInstiUnInsured","TotCivEmpPop16Up","TotEmpSelfEmployed","TotEmpAgriculture_Mining","TotEmpConstruction","TotEmpManufacturing","TotEmpWholesale","TotEmpRetail","TotEmpTransportation","TotEmpInformation","TotEmpFinance_Insurance","TotEmpProfessional","TotEmpEducation_Healthcare","TotEmpEntertainment_Food","TotEmpOther","TotEmpPublicAdministration","Worker16UpDroveAlone","Worker16UpCarpool","Worker16UpPublicTransportation","TotalWorkers16Up","TotWorkerManagement","TotWorkerService","TotWorkerSales_Office","TotWorkerConstruction_Maintenance","TotWorkerProduction_Transportation","TotWorkerMilitary","TotalOccupiedHousingUnits","Housing1Detached","Housing1Attached","Housing2Apartments","Housing3_4Apartments","Housing5_9Apartments","Housing10PlusApartments","HousingMobileHome"
"0500000US01027","Clay County, Alabama",13378,670,651,997,893,882,615,579,790,864,814,1010,1126,835,804,740,527,332,249,1648,501,2819,1274,4623,10843,10559,9846,3487,3240,2652,1108,12708,315,281,261,9285,2275,3366,2700,944,2008,6360,6768,1941,149,18,0,92,10536,409,0,0,0,5236,820,2364,1455,1036,13128,2780,4145,2497,1447,2259,13128,1340,5542,3.4,199,260,1824,93,616,269,81,171,224,1129,246,188,242,4879,300,0,5427,23.3,13.8,15.8,11.4,35.7,0,5236,3653,15,221,181,58,28,1080
"0500000US01029","Cleburne County, Alabama",14938,821,1055,962,895,760,853,853,832,992,1109,1001,966,1036,1046,572,540,233,412,2017,600,3438,1055,5185,11847,11500,11083,3839,3400,2803,1185,14117,446,405,225,10445,2364,4135,2518,1428,3331,7173,7587,358,39,3,0,309,13709,349,0,0,0,5726,874,2580,1688,1158,14747,3404,3727,3135,1579,2902,14760,1886,5628,2.7,267,708,1090,124,759,364,18,159,225,1087,342,168,317,4357,771,1,5355,25,11.2,22.8,16.8,24.3,0,5726,3828,23,44,63,132,26,1610
"0500000US01031","Coffee County, Alabama",51288,3178,3251,3588,3271,3088,3267,3207,3427,3337,3470,3367,3543,2919,2724,2137,1641,967,906,6839,2144,12161,4215,19597,40510,39127,37516,11294,9907,8375,3514,48110,2896,1895,1790,34912,4833,9723,12181,8175,8788,23953,25628,8630,617,656,0,1578,34894,3411,0,0,0,19789,2532,7629,6585,2971,49543,8215,11864,10030,5938,13496,49581,5004,21725,2.8,799,1243,2519,467,2384,1806,261,861,1594,4944,1639,1048,2160,19289,1843,0,22274,31.7,15.7,18.1,12.4,20.1,1.9,19789,14342,767,429,559,950,215,2527
"0500000US01033","Colbert County, Alabama",54495,3098,3272,3189,3134,3164,3516,2980,2807,3729,3578,3817,3831,3878,3093,2910,2028,1255,1216,6461,2049,11608,4249,19330,44328,42887,41243,14380,12863,10502,4499,51397,1328,869,905,38638,6016,13927,11459,7236,10086,25795,28243,8508,366,267,29,1205,42517,1349,0,0,0,21799,2601,9568,6048,3629,54012,11864,10877,13765,6896,10610,54038,4353,22436,3.3,250,1766,4360,481,2920,1310,270,1101,1515,4691,1768,1110,894,19914,1413,22,22074,28.1,14.9,23.4,11.3,22.2,0.1,21799,17304,132,823,742,490,479,1829
"0500000US01035","Conecuh County, Alabama",12514,715,894,572,872,613,691,597,630,721,740,861,1075,826,948,686,511,250,312,1466,470,2651,1015,4124,10152,9863,9311,3533,3188,2707,1073,11799,23,15,89,8848,1703,4315,1881,949,2847,5998,6471,5946,56,18,0,95,6257,105,0,0,0,4574,813,2249,1098,981,12469,4043,3783,2534,1089,1020,12469,1804,3892,1.5,278,219,674,94,639,316,109,184,43,653,282,116,285,3467,252,8,3876,14.3,19.3,23.2,11.7,31.5,0,4574,2851,58,158,205,94,9,1199
"0500000US01037","Coosa County, Alabama",10855,342,432,722,550,579,587,571,430,831,778,768,1109,788,790,560,505,312,201,1154,354,1850,775,3548,9227,9005,8624,3156,2831,2368,1018,10513,66,65,51,8230,1675,3178,2424,953,2364,5170,5295,3489,9,0,0,0,6918,50,0,0,0,4103,422,2119,998,570,10465,2356,3384,1800,1305,1620,10465,812,4110,2.8,53,358,829,101,355,441,48,198,234,743,356,209,185,3355,361,18,3995,20.9,17,25.3,15.2,21.6,0,4103,2711,20,54,39,42,16,1221
"0500000US01039","Covington County, Alabama",37351,2142,2496,2138,2086,2051,2231,2063,1996,2102,2266,2629,2642,2859,2328,1902,1451,1107,862,4634,1414,8190,2723,12529,30107,29161,28166,10509,9467,7650,3420,35209,601,352,278,26438,4530,9368,8588,3952,7703,17840,18946,4681,58,159,13,587,30740,604,0,0,0,15008,2155,7114,4364,2740,36664,7929,9587,6902,5468,6778,36786,4116,14899,3.5,960,1035,2122,442,1688,1461,93,515,1396,2772,853,700,862,12874,1184,7,14709,29.6,13.9,20.5,16.2,19.7,0.1,15008,10930,116,230,326,287,208,2911
"0500000US01041","Crenshaw County, Alabama",13865,787,868,925,862,748,899,668,945,797,815,1011,1070,928,794,741,433,263,311,1793,536,3116,1074,4919,11106,10749,10245,3470,3139,2542,1007,13078,370,216,270,9675,2091,3753,2326,1505,2888,6710,6946,3174,109,188,0,286,9684,275,0,0,0,5025,938,2279,1481,900,13656,3182,3362,2916,1630,2566,13656,1360,5612,1.6,308,387,990,169,655,320,121,235,414,1133,186,272,422,4545,603,30,5561,24.3,15.8,23,13.5,22.7,0.7,5025,3321,10,209,77,97,29,1282
"0500000US01043","Cullman County, Alabama",82313,4979,4736,5596,5009,4781,5389,4777,5007,5171,5257,5756,5716,5336,4479,4277,2649,2297,1101,10332,3261,18572,6529,30134,65879,63741,60657,20139,17697,14803,6047,77334,3138,2646,1968,57212,10405,20382,18559,7866,14310,40017,41429,894,348,334,3,1420,75111,3520,0,0,0,30730,3677,13160,9278,4859,81064,16224,22426,16693,10190,15531,81446,9631,33003,3.6,796,3332,5670,977,4631,1904,316,1286,2587,6627,2080,1716,1081,28607,3024,34,32668,26.7,14.6,22.2,15.4,20.9,0.1,30730,21670,215,625,390,993,737,6100
"0500000US01045","Dale County, Alabama",49255,3231,3162,3148,3023,3309,3671,3455,2969,2847,3036,3117,3629,2719,2670,1909,1538,958,864,6310,1965,11506,4367,19274,39028,37749,36129,10658,9294,7939,3360,46024,2471,1679,1516,33382,4732,10924,12036,5690,9906,21901,24505,9346,377,588,4,1493,32019,2802,0,0,0,18670,3582,7317,5572,3292,46391,10113,11492,10173,5591,9022,46406,5274,18025,1.7,375,1025,2074,409,2986,1839,137,627,1251,3131,1657,962,1552,17211,1437,7,20088,25.5,15.4,22,11.6,21.5,4,18670,12952,621,517,817,557,211,2995
"0500000US01047","Dallas County, Alabama",40029,2477,2842,2682,2906,2522,2411,2263,2246,2209,2247,2688,3068,2763,2675,1318,1260,922,530,5524,1779,9780,3649,14557,31400,30249,28458,9468,8329,6705,2712,37552,607,297,528,26600,5135,9368,8076,4021,7061,18312,21437,28018,10,224,23,280,10936,412,0,0,0,16336,5071,7072,4768,4697,39421,14320,9558,6192,3961,5390,39749,4765,14295,1.8,269,737,3738,169,1525,683,88,491,774,3243,841,840,897,12085,1284,0,13991,25.9,16.9,18.5,8.5,30.1,0.1,16336,9763,164,1094,1106,688,233,3288
"0500000US01049","DeKalb County, Alabama",71200,4251,4916,5151,4805,4201,4435,4157,4427,4590,4769,4627,4919,4333,4030,3017,2225,1308,1039,10067,3162,17480,5844,26615,55947,53720,51146,15952,14315,11619,4572,66949,8105,7888,5283,47876,12394,15956,13441,6085,10931,34871,35572,938,934,140,621,1629,56762,10209,0,0,0,26132,4953,10752,9066,5610,70235,17389,19613,14678,7862,10693,70443,10231,28637,2.7,842,2155,8143,508,3590,1825,253,1093,1251,4782,1907,1218,1070,24212,2915,15,28264,23.3,15.8,19.2,12.2,29.4,0,26132,17957,82,606,624,369,326,6168
"0500000US01051","Elmore County, Alabama",81212,4736,4761,5460,5243,5253,5710,5455,5539,5594,5525,5757,5750,4659,4001,3270,1962,1396,1141,10221,3282,18239,7214,32794,65199,62973,59878,16429,14379,11770,4499,76476,2409,1350,1446,55759,7594,18304,16197,13664,13646,35803,40527,15148,101,361,0,1583,57131,2207,0,0,0,29143,3711,11110,9566,3703,76330,10936,15147,14659,12443,23145,76330,6227,33811,2.9,492,2744,3886,726,4105,1590,448,1971,2820,6781,2720,1588,3940,29130,3055,42,33582,36.8,12.7,23.2,10.3,16.6,0.6,29143,21842,408,300,639,762,826,4366
"0500000US01053","Escambia County, Alabama",37328,2122,2290,2491,2212,2248,2533,2449,2437,2365,2389,2508,2453,2355,2164,1577,1381,696,658,4781,1425,8328,3035,14244,29981,29000,27677,8831,7711,6476,2735,35206,644,502,365,25965,4792,11546,6340,3287,6505,16360,18173,10134,1437,118,72,421,21520,814,0,0,0,13428,2270,6045,3707,3296,34498,10216,9169,6244,3779,5090,34533,5341,12182,2.3,284,924,2153,234,1399,767,118,417,640,2412,1098,559,1177,10986,839,0,11999,24.3,22,22.9,10.3,20.5,0,13428,9261,63,274,746,747,173,2164
"0500000US01055","Etowah County, Alabama",102939,5793,6148,6210,6484,6309,6286,5803,6632,6316,7054,6994,7243,6790,6662,4518,3353,2402,1942,12358,4130,22281,8663,37830,83391,80658,76935,25667,23149,18877,7697,97146,3766,2405,2977,71995,11147,23665,24416,12767,19976,49337,52809,16053,751,739,66,1710,79740,3880,0,0,0,38777,5477,16948,11516,6382,101581,21981,24689,19727,15137,20047,102146,10662,42367,3,298,2580,8040,1100,5011,1961,808,1668,2354,9886,4052,2410,2199,35321,3637,86,41319,30.3,18.4,20.7,9,21.5,0,38777,30654,191,614,922,1301,1321,3774
"0500000US01057","Fayette County, Alabama",16585,925,914,1036,1076,917,941,958,741,1134,1082,1097,1135,1237,1073,941,613,397,368,1950,687,3562,1306,5767,13491,13023,12444,4629,4136,3392,1378,15660,141,24,151,11717,2060,4868,3273,1516,4207,8071,8314,1936,0,108,6,389,13893,285,0,0,0,6947,1282,3194,1977,1398,16244,4089,4624,3286,2134,2111,16385,1446,6380,2.5,252,297,1499,173,803,470,108,204,256,1569,275,260,214,5407,650,0,6296,25.9,16.5,18.6,11.3,27.5,0.2,6947,4665,88,170,128,128,147,1621
"0500000US01059","Franklin County, Alabama",31542,2165,1851,2416,2021,2277,1899,2094,1658,2314,1901,2138,1662,2046,1694,1263,990,588,565,4267,1374,7806,2924,12263,24598,23736,22455,7146,6310,5100,2143,29377,4772,4387,2767,20812,4835,7666,5632,2679,4866,15524,15795,1349,487,119,0,313,24130,5332,0,0,0,11210,1989,4990,3389,1914,31285,7326,9060,5823,4869,4207,31319,4005,12849,1.9,258,1278,3778,307,1169,570,352,465,700,2320,800,439,413,10627,1655,26,12771,23.8,13.9,18.7,12.5,31.1,0,11210,8492,43,265,186,358,249,1617
"0500000US01061","Geneva County, Alabama",26491,1445,1703,1681,1661,1403,1440,1533,1584,1532,1695,1905,2049,1708,1749,1240,987,737,439,3384,1027,5856,2037,9153,21376,20635,19749,6860,5985,5152,2163,25046,961,741,406,18598,3891,6924,5720,2063,5616,12808,13361,2474,210,109,4,525,21984,1011,0,0,0,10479,1957,4874,3055,2374,26153,7399,6954,4790,3500,3510,26169,3586,10047,3.9,560,924,1513,570,1023,732,59,267,590,2117,488,561,643,8291,1118,3,9908,24.6,15.8,19.7,18.8,20.4,0.6,10479,7211,47,290,63,46,37,2785
"0500000US01063","Greene County, Alabama",8426,490,537,488,493,585,508,498,496,270,411,586,688,660,700,254,380,180,202,1025,347,1862,731,2850,6661,6564,6317,2376,2248,1716,762,7936,8,3,8,5833,1406,2149,1689,589,2104,3934,4437,6674,48,0,0,220,1429,143,0,0,0,2955,1234,1593,594,1150,8363,3777,2013,1409,461,703,8371,956,2204,2,53,126,585,7,187,46,22,134,138,557,117,21,211,1812,262,0,2204,26.7,17.8,21,7.5,27,0,2955,1608,27,9,4,65,209,1033
"0500000US01065","Hale County, Alabama",14887,971,887,986,1128,844,883,804,1047,583,822,1065,970,1180,953,620,405,397,342,1873,637,3481,1335,5289,11857,11406,10660,3897,3505,2717,1144,13916,150,88,86,10071,1647,4292,2711,1421,3088,6896,7753,8661,29,39,0,72,5747,130,0,0,0,5658,1535,2707,1614,1586,14644,4776,3513,2877,1291,2187,14649,1284,5083,2.6,256,320,1019,50,591,191,0,192,471,1212,362,269,150,4411,355,6,4990,27.2,17.5,22.7,11.5,20.3,0.9,5658,3253,17,94,139,97,220,1838
"0500000US01067","Henry County, Alabama",17124,933,823,1184,1013,1004,824,828,1147,996,1084,1135,1307,1150,1220,1026,668,340,442,2007,647,3587,1370,5812,13980,13537,12999,4846,4504,3696,1450,16191,324,284,185,12167,2412,4081,3487,2187,3145,8105,8716,4652,4,0,0,155,11614,433,0,0,0,6669,1156,3122,1801,1042,16803,3056,4176,4296,1809,3466,16821,1917,6868,4.1,303,238,779,299,816,802,85,226,530,1637,719,287,147,5959,482,0,6834,30.9,19.8,19.7,9.4,20,0.1,6669,4722,32,182,147,11,15,1560
"0500000US01069","Houston County, Alabama",104352,6340,6718,6985,6478,6133,6873,6686,6180,6826,6640,7103,7431,6344,5849,4434,3208,2201,1923,13703,4343,24386,8268,39176,82833,79966,76542,23959,21268,17615,7332,98012,3610,2276,2359,71698,10261,22680,23681,15076,18385,49452,54058,27879,296,871,18,2104,69264,3432,0,0,0,39253,5777,16028,11743,6755,103262,21950,25983,19352,12286,23691,103510,10737,44291,3.4,679,2549,4249,1620,6407,3473,635,1860,3374,10522,4475,2366,2082,38637,3194,41,43707,31.7,18.5,24.1,9.8,15.8,0.1,39253,28496,528,869,1233,1517,1818,4792
"0500000US01071","Jackson County, Alabama",52094,2793,3217,3106,3035,2718,3070,2939,3009,3458,3507,3622,4034,3614,3810,2138,1868,1159,997,6323,2043,11159,3710,18229,42344,40935,39201,13586,12034,9972,4024,49301,783,585,899,37225,6526,15181,10238,5280,9712,25296,26297,1728,615,215,77,1420,46130,1492,0,0,0,20626,2611,9124,6110,4089,51429,12521,15326,10263,6125,7194,51593,4974,20189,2.3,343,1453,5566,262,2594,1071,154,851,1298,3922,1062,1020,593,17132,1755,8,19852,27.1,13.6,19.2,11.6,28.5,0,20626,14945,213,674,154,577,241,3822
"0500000US01073","Jefferson County, Alabama",659892,42537,42904,41175,41417,43127,49164,46029,43068,40471,40493,42860,45223,42278,34493,22826,16767,12341,12719,84079,25042,151658,59502,263276,525347,508234,482781,141424,123884,99146,41827,617355,36221,20954,26360,448732,46025,120037,137208,145462,101363,308034,344710,278302,1509,10199,215,11112,327370,24958,0,0,0,260924,38355,98570,78736,43269,643364,124792,135790,111002,83169,188611,652744,62164,302428,3.1,2171,15755,27504,8805,32804,16717,6645,25886,32264,76725,27917,17016,12219,249038,29110,2694,297470,39,16.6,23.7,7.3,13.2,0.1,260924,184841,6832,4181,8410,16456,32423,7781
"0500000US01075","Lamar County, Alabama",13933,699,878,935,867,661,702,770,620,942,906,975,1065,975,913,667,670,346,342,1813,553,3065,975,4562,11160,10868,10416,3913,3598,2938,1358,13234,90,83,86,9893,1741,3950,2967,1235,3364,6697,7070,1486,0,0,0,69,11887,218,0,0,0,5974,1052,2859,1640,1268,13745,3195,4349,2713,1145,2343,13767,1297,5338,2.8,179,452,1223,157,409,356,66,210,414,974,174,360,364,4662,528,36,5283,27.4,13.6,17.8,15.2,26.1,0,5974,4112,35,394,90,222,30,1091
"0500000US01077","Lauderdale County, Alabama",92585,4736,5563,4852,6149,7856,5710,5186,4952,5311,5730,6154,6240,6270,5346,4844,3085,2398,2203,10415,3371,18522,10634,35164,76107,74063,69230,24146,21607,17876,7686,87849,2883,1727,1887,63429,7979,22812,17453,15185,13503,43922,47788,9173,399,612,61,1383,77844,2411,0,0,0,38514,4930,16600,10863,6298,90300,16947,23289,17731,12988,19345,91710,8328,40130,3.1,390,2851,5477,1108,5468,2531,520,1627,3110,9100,4188,2151,1609,34830,3022,13,39558,31.3,17.3,24,9.9,17.2,0.2,38514,28456,262,909,1334,1964,2153,3436
"0500000US01079","Lawrence County, Alabama",33171,1855,2012,2184,1953,1772,2057,1912,2088,1917,2255,2590,2559,2230,2101,1488,1022,647,529,4196,1181,7232,2544,11699,26741,25939,24909,8017,6815,5787,2198,31316,568,463,324,23395,4919,9710,6028,2738,6750,15880,17040,3522,1873,44,24,1651,25249,707,0,0,0,12811,1979,5375,3940,2169,32920,6329,9176,6008,3967,7440,32920,2686,12568,1.5,345,1123,3034,368,1173,952,149,464,778,2412,621,636,513,10805,1114,18,12388,27,13.9,16.8,14.5,27.8,0.2,12811,9349,37,80,226,328,128,2663
"0500000US01081","Lee County, Alabama",159287,9431,8850,10200,13411,22407,12368,10499,9580,9656,9442,9212,8453,8039,6739,4374,3117,1936,1573,19050,5721,34202,30097,77921,128804,125085,111421,25778,22707,17739,6626,149856,11111,4115,8660,94988,9049,22855,30707,32377,20764,77351,80487,36242,226,6533,18,2939,106477,5768,0,0,0,59373,6945,17262,19311,13131,152716,35840,30969,24588,19972,41347,157838,12516,72956,3.1,456,3804,9950,1150,8263,3196,1077,4776,6207,20901,6883,3662,2631,60978,5797,504,72229,40.3,16.1,21,7.7,14.2,0.7,59373,34663,1684,3218,1583,2618,6022,9585
